exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
d4f017f131894c6480ae173727b7aa15,captcha_pre,1,17,female,2026-04-21T10:02:24.464,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
d4f017f131894c6480ae173727b7aa15,captcha_pre,1,17,female,2026-04-21T10:02:24.489,2026-04-21T10:03:05.399,40.91,1,1,Click on the images containing bicycles.,"[""Tlight (97).jpg"", ""Bicycle (14).jpg"", ""Bicycle (372).jpg"", ""Stair (838).jpg"", ""Bicycle (681).jpg"", ""Bicycle (389).jpg"", ""Palm (91).jpg"", ""Bicycle (198).jpg"", ""Chimney (107).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 2, 4, 5, 7]","[""Bicycle (14).jpg"", ""Bicycle (372).jpg"", ""Bicycle (681).jpg"", ""Bicycle (389).jpg"", ""Bicycle (198).jpg""]",775,1,1,10,submit,
d4f017f131894c6480ae173727b7aa15,captcha_pre,1,17,female,2026-04-21T10:03:05.404,2026-04-21T10:03:19.445,14.041,2,1,Click on the images containing bicycles.,"[""Stair (443).jpg"", ""Bicycle (290).jpg"", ""Hydrant (82).jpg"", ""Chimney (92).jpg"", ""Bridge (139).jpg"", ""Bicycle (432).jpg"", ""Bus (73).jpg"", ""Bicycle (244).jpg"", ""Bicycle (441).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[1, 5, 7, 8]","[""Bicycle (290).jpg"", ""Bicycle (432).jpg"", ""Bicycle (244).jpg"", ""Bicycle (441).jpg""]",771,2,2,10,submit,
d4f017f131894c6480ae173727b7aa15,captcha_pre,1,17,female,2026-04-21T10:03:19.451,2026-04-21T10:03:33.646,14.195,3,0,Click on the images containing bicycles.,"[""Cross (86).jpg"", ""Bus (28).jpg"", ""Hydrant (44).jpg"", ""Bicycle (61).jpg"", ""Palm (4).jpg"", ""Bicycle (746).jpg"", ""Car (119).jpg"", ""Bicycle (323).jpg"", ""Bicycle (299).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (61).jpg"", ""Bicycle (323).jpg"", ""Bicycle (299).jpg""]",767,3,2,10,submit,
d4f017f131894c6480ae173727b7aa15,captcha_pre,1,17,female,2026-04-21T10:03:35.655,2026-04-21T10:03:55.469,19.814,4,0,Click on the images containing bicycles.,"[""Bicycle (383).jpg"", ""Bicycle (217).jpg"", ""Hydrant (97).jpg"", ""Bicycle (531).jpg"", ""Hydrant (32).jpg"", ""Hydrant (45).jpg"", ""Bicycle (659).jpg"", ""Bicycle (474).jpg"", ""Bridge (137).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 3, 6, 7]","[""Bicycle (383).jpg"", ""Bicycle (531).jpg"", ""Bicycle (659).jpg"", ""Bicycle (474).jpg""]",762,4,2,10,submit,
d4f017f131894c6480ae173727b7aa15,captcha_pre,1,17,female,2026-04-21T10:03:57.478,2026-04-21T10:04:09.118,11.64,5,1,Click on the images containing bicycles.,"[""Bridge (136).jpg"", ""Palm (68).jpg"", ""Bridge (69).jpg"", ""Bicycle (326).jpg"", ""Stair (1240).jpg"", ""Cross (54).jpg"", ""Bicycle (378).jpg"", ""Chimney (104).jpg"", ""Bicycle (600).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[3, 6, 8]","[""Bicycle (326).jpg"", ""Bicycle (378).jpg"", ""Bicycle (600).jpg""]",759,5,3,10,submit,
d4f017f131894c6480ae173727b7aa15,captcha_pre,1,17,female,2026-04-21T10:04:09.124,2026-04-21T10:04:25.446,16.322,6,0,Click on the images containing bicycles.,"[""Bicycle (201).jpg"", ""Bicycle (718).jpg"", ""Bicycle (19).jpg"", ""Bicycle (586).jpg"", ""Chimney (33).jpg"", ""Bicycle (513).jpg"", ""Bus (59).jpg"", ""Palm (138).jpg"", ""Bridge (24).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 2, 3]","[""Bicycle (201).jpg"", ""Bicycle (718).jpg"", ""Bicycle (19).jpg"", ""Bicycle (586).jpg""]",754,6,3,10,submit,
d4f017f131894c6480ae173727b7aa15,captcha_pre,1,17,female,2026-04-21T10:04:27.455,2026-04-21T10:04:43.718,16.263,7,1,Click on the images containing bicycles.,"[""Tlight (88).jpg"", ""Car (49).jpg"", ""Bicycle (175).jpg"", ""Bicycle (104).jpg"", ""Bicycle (744).jpg"", ""Car (125).jpg"", ""Bicycle (15).jpg"", ""Bicycle (167).jpg"", ""Tlight (6).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[2, 3, 4, 6, 7]","[""Bicycle (175).jpg"", ""Bicycle (104).jpg"", ""Bicycle (744).jpg"", ""Bicycle (15).jpg"", ""Bicycle (167).jpg""]",749,7,4,10,submit,
d4f017f131894c6480ae173727b7aa15,captcha_pre,1,17,female,2026-04-21T10:04:43.723,2026-04-21T10:04:51.942,8.219,8,1,Click on the images containing bicycles.,"[""Bicycle (302).jpg"", ""Bus (82).jpg"", ""Bicycle (322).jpg"", ""Tlight (93).jpg"", ""Chimney (17).jpg"", ""Bicycle (482).jpg"", ""Bicycle (773).jpg"", ""Hydrant (35).jpg"", ""Cross (52).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 5, 6]","[""Bicycle (302).jpg"", ""Bicycle (322).jpg"", ""Bicycle (482).jpg"", ""Bicycle (773).jpg""]",745,8,5,10,submit,
d4f017f131894c6480ae173727b7aa15,captcha_pre,1,17,female,2026-04-21T10:04:51.948,2026-04-21T10:05:01.943,9.995,9,0,Click on the images containing bicycles.,"[""Bicycle (105).jpg"", ""Bicycle (757).jpg"", ""Hydrant (108).jpg"", ""Stair (1467).jpg"", ""Bicycle (360).jpg"", ""Bridge (62).jpg"", ""Bus (96).jpg"", ""Bicycle (400).jpg"", ""Bicycle (259).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 4, 7]","[""Bicycle (105).jpg"", ""Bicycle (757).jpg"", ""Bicycle (360).jpg"", ""Bicycle (400).jpg""]",740,9,5,10,submit,
