exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
d647c915010e4ebdbb41c4af313922cc,captcha_pre,1,1,male,2026-03-25T19:04:43.179,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
d647c915010e4ebdbb41c4af313922cc,captcha_pre,1,1,male,2026-03-25T19:04:43.200,2026-03-25T19:05:04.142,20.942,1,1,Click on the images containing bicycles.,"[""Bicycle (261).jpg"", ""Cross (74).jpg"", ""Bicycle (710).jpg"", ""Bicycle (442).jpg"", ""Bicycle (207).jpg"", ""Hydrant (134).jpg"", ""Chimney (58).jpg"", ""Bridge (65).jpg"", ""Palm (136).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 3, 4]","[""Bicycle (261).jpg"", ""Bicycle (710).jpg"", ""Bicycle (442).jpg"", ""Bicycle (207).jpg""]",776,1,1,1,submit,
d647c915010e4ebdbb41c4af313922cc,captcha_pre,1,1,male,2026-03-25T19:04:43.200,2026-03-25T19:05:04.149,20.949,1,,Click on the images containing bicycles.,[],[],[],[],776,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
87ca7029c6894a0c93a72c67d1c58264,captcha_pre,1,1,male,2026-03-25T19:05:51.253,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
87ca7029c6894a0c93a72c67d1c58264,captcha_pre,1,1,male,2026-03-25T19:05:51.279,2026-03-25T19:05:56.029,4.75,1,1,Click on the images containing bicycles.,"[""Car (73).jpg"", ""Bridge (140).jpg"", ""Bicycle (259).jpg"", ""Cross (23).jpg"", ""Bicycle (352).jpg"", ""Hydrant (110).jpg"", ""Chimney (49).jpg"", ""Hydrant (44).jpg"", ""Bicycle (256).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 4, 8]","[""Bicycle (259).jpg"", ""Bicycle (352).jpg"", ""Bicycle (256).jpg""]",777,1,1,1,submit,
87ca7029c6894a0c93a72c67d1c58264,captcha_pre,1,1,male,2026-03-25T19:05:51.279,2026-03-25T19:05:56.034,4.755,1,,Click on the images containing bicycles.,[],[],[],[],777,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
87ca7029c6894a0c93a72c67d1c58264,q_pre_captcha,1,1,male,2026-03-25T19:05:56.042,2026-03-25T19:05:57.524,1.482,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_fun"": ""4""}"
87ca7029c6894a0c93a72c67d1c58264,q_pre_idaq,1,1,male,2026-03-25T19:05:57.543,2026-03-25T19:05:59.891,2.348,,,,,,,,,,,,submit,"{""idaq_11"": ""5"", ""idaq_6"": ""5"", ""idaq_17"": ""5"", ""idaq_1"": ""5"", ""idaq_26"": ""5"", ""idaq_12"": ""5"", ""idaq_24"": ""5"", ""idaq_30"": ""5"", ""idaq_16"": ""5"", ""idaq_8"": ""5"", ""idaq_19"": ""5"", ""idaq_4"": ""5"", ""idaq_15"": ""5"", ""idaq_18"": ""5"", ""idaq_28"": ""5"", ""idaq_21"": ""5"", ""idaq_5"": ""5"", ""idaq_3"": ""5"", ""idaq_29"": ""5"", ""idaq_20"": ""5"", ""idaq_2"": ""5"", ""idaq_7"": ""5"", ""idaq_13"": ""5"", ""idaq_10"": ""5"", ""idaq_14"": ""5"", ""idaq_22"": ""5"", ""idaq_27"": ""5"", ""idaq_23"": ""5"", ""idaq_25"": ""5"", ""idaq_9"": ""5""}"
87ca7029c6894a0c93a72c67d1c58264,q_pre_2050,1,1,male,2026-03-25T19:05:59.901,2026-03-25T19:06:02.509,2.608,,,,,,,,,,,,submit,"{""2050_rubbish_collectors"": ""5"", ""2050_nursing_home"": ""5"", ""2050_experiments"": ""5"", ""2050_shelters"": ""5"", ""2050_rights"": ""5"", ""2050_crime"": ""5"", ""2050_hiking"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_art"": ""5"", ""2050_police"": ""5"", ""2050_other_worlds"": ""5"", ""2050_sports"": ""5"", ""2050_school"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_mannequins"": ""5""}"
87ca7029c6894a0c93a72c67d1c58264,q_post_gators,1,1,male,2026-03-25T19:09:55.427,2026-03-25T19:09:58.235,2.808,,,,,,,,,,,,submit,"{""gators_17"": ""4"", ""gators_16"": ""4"", ""gators_2"": ""4"", ""gators_10"": ""4"", ""gators_9"": ""4"", ""gators_20"": ""4"", ""gators_12"": ""4"", ""gators_15"": ""4"", ""gators_11"": ""4"", ""gators_8"": ""4"", ""gators_1"": ""4"", ""gators_13"": ""4"", ""gators_6"": ""4"", ""gators_18"": ""4"", ""gators_5"": ""4"", ""gators_4"": ""4"", ""gators_7"": ""4"", ""gators_19"": ""4"", ""gators_3"": ""4"", ""gators_14"": ""4""}"
87ca7029c6894a0c93a72c67d1c58264,q_post_specific,1,1,male,2026-03-25T19:09:58.249,2026-03-25T19:09:59.635,1.386,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""conversation_interestingness"": ""4"", ""robot_empathy"": ""4"", ""robot_friendliness"": ""4"", ""robot_likeability"": ""4""}"
87ca7029c6894a0c93a72c67d1c58264,captcha_post,1,1,male,2026-03-25T19:09:59.683,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
87ca7029c6894a0c93a72c67d1c58264,captcha_post,1,1,male,2026-03-25T19:09:59.709,2026-03-25T19:10:10.772,11.063,1,1,Click on the images containing bicycles.,"[""Palm (139).jpg"", ""Bicycle (470).jpg"", ""Bicycle (776).jpg"", ""Bicycle (343).jpg"", ""Hydrant (112).jpg"", ""Chimney (107).jpg"", ""Bicycle (648).jpg"", ""Hydrant (126).jpg"", ""Car (100).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 3, 6]","[""Bicycle (470).jpg"", ""Bicycle (776).jpg"", ""Bicycle (343).jpg"", ""Bicycle (648).jpg""]",776,1,1,1000,submit,
87ca7029c6894a0c93a72c67d1c58264,captcha_post,1,1,male,2026-03-25T19:10:10.776,2026-03-25T19:10:15.550,4.774,2,1,Click on the images containing bicycles.,"[""Bicycle (433).jpg"", ""Car (108).jpg"", ""Bridge (108).jpg"", ""Bicycle (241).jpg"", ""Bicycle (381).jpg"", ""Cross (48).jpg"", ""Palm (59).jpg"", ""Car (70).jpg"", ""Stair (1286).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 3, 4]","[""Bicycle (433).jpg"", ""Bicycle (241).jpg"", ""Bicycle (381).jpg""]",773,2,2,1000,submit,
87ca7029c6894a0c93a72c67d1c58264,captcha_post,1,1,male,2026-03-25T19:10:15.557,2026-03-25T19:10:19.687,4.13,3,,Click on the images containing bicycles.,[],[],[],[],768,2,2,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_timeout""}"
0fe92510d41d40308627b498a4d34558,captcha_pre,2,2,female,2026-03-25T19:11:33.115,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
0fe92510d41d40308627b498a4d34558,captcha_pre,2,2,female,2026-03-25T19:11:33.145,2026-03-25T19:11:39.774,6.629,1,1,Click on the images containing bicycles.,"[""Bicycle (22).jpg"", ""Cross (108).jpg"", ""Bicycle (560).jpg"", ""Bridge (37).jpg"", ""Palm (116).jpg"", ""Bicycle (67).jpg"", ""Bicycle (604).jpg"", ""Chimney (118).jpg"", ""Bridge (83).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 5, 6]","[""Bicycle (22).jpg"", ""Bicycle (560).jpg"", ""Bicycle (67).jpg"", ""Bicycle (604).jpg""]",776,1,1,1,submit,
0fe92510d41d40308627b498a4d34558,captcha_pre,2,2,female,2026-03-25T19:11:33.145,2026-03-25T19:11:39.780,6.635,1,,Click on the images containing bicycles.,[],[],[],[],776,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
0fe92510d41d40308627b498a4d34558,q_pre_captcha,2,2,female,2026-03-25T19:11:39.792,2026-03-25T19:11:41.149,1.357,,,,,,,,,,,,submit,"{""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_difficulty"": ""4"", ""general_captcha_liking"": ""4""}"
0fe92510d41d40308627b498a4d34558,q_pre_idaq,2,2,female,2026-03-25T19:11:41.174,2026-03-25T19:11:43.999,2.825,,,,,,,,,,,,submit,"{""idaq_27"": ""5"", ""idaq_26"": ""5"", ""idaq_2"": ""5"", ""idaq_4"": ""5"", ""idaq_5"": ""5"", ""idaq_11"": ""5"", ""idaq_13"": ""5"", ""idaq_21"": ""5"", ""idaq_23"": ""5"", ""idaq_30"": ""5"", ""idaq_8"": ""5"", ""idaq_25"": ""5"", ""idaq_24"": ""5"", ""idaq_10"": ""5"", ""idaq_7"": ""5"", ""idaq_18"": ""5"", ""idaq_9"": ""5"", ""idaq_22"": ""5"", ""idaq_6"": ""5"", ""idaq_16"": ""5"", ""idaq_3"": ""5"", ""idaq_29"": ""5"", ""idaq_15"": ""5"", ""idaq_17"": ""5"", ""idaq_14"": ""5"", ""idaq_19"": ""5"", ""idaq_1"": ""5"", ""idaq_12"": ""5"", ""idaq_28"": ""5"", ""idaq_20"": ""5""}"
